,,,,,,,,
"Kvarnhjul 0,54m",,,,,,,,
Ström (A),,,,,Spänning (V),,,
Tid,Test 1,Test 2,Test 3,,Tid,Test 1,Test 2,Test 3
2,"0,038223267","0,0142860413","0,0424575806",,2,"0,060272217","0,030708313","0,017738342"
"2,15","0,003986359","0,0136756897","0,0370025635",,"2,15","0,045204163","0,024604797","0,011634827"
"2,25","0,046710968","0,0354957581","0,0173187256",,"2,25","0,060272217","0,030708313","0,000381470"
"2,5","0,000648499","0,0379180908","0,0509452820",,"2,5","0,066375732","0,012588501","0,018501282"
3,"0,000648499","0,0303459167","0,0470161438",,3,"0,072479248","0,015449524","0,009536743"
"3,15","0,002479553","0,0324630737","0,0518608093",,"3,15","0,075340271","0,018501282","0,003433228"
"3,25","0,000057220","0,0418663025","0,0530815125",,"3,25","0,060272217","0,027656555","0,006484985"
"3,5","0,001564026","0,0342750549","0,0464057922",,"3,5","0,072479248","0,036811829","0,006484985"
4,"0,029754639","0,0464057922","0,0330734253",,4,"0,039100647","0,021553040","0,015449524"
"4,15","0,028839111","0,0376129150","0,0412559509",,"4,15","0,060272217","0,027656555","0,006484985"
"4,25","0,000953674","0,0239753723","0,0509452820",,"4,25","0,051116943","0,036811829","0,015449524"
"4,5","0,015811920","0,0436782837","0,0527763367",,"4,5","0,063323975","0,018501282","0,024604797"
5,"0,026111603","0,0394439697","0,0464057922",,5,"0,066375732","0,015449524","0,018501282"
"5,15","0,005207062","0,0394439697","0,0491333008",,"5,15","0,075340271","0,018501282","0,012588501"
"5,25","0,025806427","0,0436782837","0,0479125977",,"5,25","0,069427490","0,027656555","0,018501282"
"5,5","0,019130707","0,0200462341","0,0564002991",,"5,5","0,072479248","0,027656555","0,027656555"
6,"0,029449463","0,0324630737","0,0560951233",,6,"0,081443787","0,006484985","0,018501282"
"6,15","0,016403198","0,0382232666","0,0576210022",,"6,15","0,084495544","0,012588501","0,006484985"
"6,25","0,000057220","0,0461006165","0,0536727905",,"6,25","0,075340271","0,027656555","0,009536743"
"6,5","0,034904480","0,0361061096","0,0518608093",,"6,5","0,072479248","0,030708313","0,021553040"
7,"0,038833618","0,0351905823","0,0539779663",,7,"0,075340271","0,036811829","0,015449524"
"7,15","0,060348511","0,0467109680","0,0512504578",,"7,15","0,069427490","0,030708313","0,021553040"
"7,25","0,003376007","0,0309562683","0,0545883179",,"7,25","0,075340271","0,021553040","0,015449524"
"7,5","0,042781830","0,0370025635","0,0515556335",,"7,5","0,072479248","0,027656555","0,027656555"
8,"0,025806427","0,0503540039","0,0470161438",,8,"0,072479248","0,015449524","0,021553040"
"8,15","0,027618408","0,0400352478","0,0512504578",,"8,15","0,063323975","0,015449524","0,030708313"
"8,25","0,003070831","0,0536727905","0,0451850891",,"8,25","0,084495544","0,030708313","0,036811829"
"8,5","0,050964355","0,0476264954","0,0503540039",,"8,5","0,075340271","0,030708313","0,033760071"
9,"0,038833618","0,0603485107","0,0476264954",,9,"0,076356268","0,027656555","0,042724609"
Medelvärde:,"0,021323500","0,0375655602","0,0481395064",,Medelvärde: ,"0,068568044","0,024308829","0,017764651"
,,,,,,,,
"Peltonturbin 0,54 m",,,,,,,,
Ström (A),,,,,Spänning (V),,,
Tid ,Test 1,Test 2,Test 3,,Tid,Test 1,Test 2,Test 3
2,"0,0456047058","0,0470352173","0,0585365295",,2,"0,117966837","0,121667177","0,151417910"
"2,15","0,0377273560","0,0461387634","0,0482177734",,"2,15","0,097590299","0,119348298","0,124726125"
"2,25","0,0486373901","0,0473403931","0,0391387939",,"2,25","0,125811558","0,122456583","0,101241301"
"2,5","0,0452995300","0,0688552856","0,0639915466",,"2,5","0,117177431","0,178109696","0,165528540"
3,"0,0610542297","0,0697708130","0,0361061096",,3,"0,157930509","0,180477913","0,093396580"
"3,15","0,0301361084","0,0455284119","0,0603485107",,"3,15","0,077953828","0,117769486","0,156105008"
"3,25","0,0501441956","0,0703811646","0,0473213196",,"3,25","0,129709249","0,182056725","0,122407245"
"3,5","0,0616645813","0,0703811646","0,0642776489",,"3,5","0,159509320","0,182056725","0,166268608"
4,"0,0468063354","0,0625038147","0,0318527222",,4,"0,121075123","0,161680186","0,082394236"
"4,15","0,0480270386","0,0734138489","0,0645828247",,"4,15","0,124232746","0,189901446","0,167058014"
"4,25","0,0474166870","0,0127983093","0,0564002991",,"4,25","0,122653935","0,033105708","0,145892069"
"4,5","0,0589370728","0,0791549683","0,0555038452",,"4,5","0,152454005","0,204752143","0,143573190"
5,"0,0443840027","0,0485610962","0,0382232666",,5,"0,114809214","0,125614206","0,098873083"
"5,15","0,0568199158","0,0485610962","0,0433731079",,"5,15","0,146977502","0,125614206","0,112194307"
"5,25","0,0428771973","0,0540161133","0,0597381592",,"5,25","0,110911522","0,139724836","0,154526196"
"5,5","0,0601387024","0,0637054443","0,0451850891",,"5,5","0,155562291","0,164788472","0,116881404"
6,"0,0516700745","0,0649261475","0,0706481934",,6,"0,133656279","0,167946095","0,182747455"
"6,15","0,0646972656","0,0746154785","0,0694465637",,"6,15","0,167354041","0,193009731","0,179639170"
"6,25","0,0486373901","0,0673484802","0,0609588623",,"6,25","0,125811558","0,174212004","0,157683819"
"6,5","0,0449943542","0,0728034973","0,0430679321",,"6,5","0,116388026","0,188322634","0,111404901"
7,"0,0431823730","0,0509834290","0,0479125977",,7,"0,111700928","0,131880115","0,123936719"
"7,15","0,0583267212","0,0428009033","0,0370025635",,"7,15","0,150875194","0,110714171","0,095715460"
"7,25","0,0540924072","0,0534057617","0,0430679321",,"7,25","0,139922188","0,138146024","0,111404901"
"7,5","0,0501441956","0,0527954102","0,0618553162",,"7,5","0,129709249","0,136567213","0,160002699"
8,"0,0653076172","0,0634002686","0,0451850891",,8,"0,168932853","0,163999066","0,116881404"
"8,15","0,0610542297","0,0652313232","0,0618553162",,"8,15","0,157930509","0,168735501","0,160002699"
"8,25","0,0710487366","0,0770378113","0,0576210022",,"8,25","0,183783550","0,199275640","0,149049693"
"8,5","0,0446891785","0,0679588318","0,0576210022",,"8,5","0,115598620","0,175790816","0,149049693"
9,"0,0625801086","0,0458335876","0,0667190552",,9,"0,161877538","0,118558892","0,172583855"
Medelvärde:,"0,0519344724","0,0588719598","0,0529572059",,Medelvärde:,"0,134340203","0,152285576","0,136985734"
,,,,,,,,
,,,,,,,,
"Kvarnhjul 1,6 m",,,,,,,,
Ström (A) ,,,,,Spänning (V) ,,,
Tid,Test 1,Test 2,Test 3,,Tid ,Test 1,Test 2,Test 3
2,"0,0389099121","0,0873565674","0,0719070435",,2,"0,0005531311","0,0054168701","0,0319671631"
"2,15","0,0602344819","0,0782012939","0,0778198242",,"2,15","0,0244903564","0,0475311279","0,0416564941"
"2,25","0,0661849976","0,0600814819","0,0839233398",,"2,25","0,0290489197","0,0157165527","0,0149917603"
"2,5","0,0631332397","0,0965118408","0,0688552856",,"2,5","0,0599479675","0,0823783875","0,0186347961"
3,"0,0509262085","0,0722885132","0,0961303711",,3,"0,0766181946","0,0854110718","0,0392341614"
"3,15","0,0692367554","0,0843048096","0,0900268555",,"3,15","0,0726890564","0,0860214233","0,0159072876"
"3,25","0,0600814819","0,0873565674","0,0688552856",,"3,25","0,0238990784","0,0329971313","0,0037765503"
